"...1","Fernando Delgado
Birmingham Legion FC","Finn Calloway
Birmingham Legion FC","Erik Centeno
Birmingham Legion FC","Ronaldo Damus
Birmingham Legion FC","Lucca Dourado Pereira
Birmingham Legion FC","Ramiz Hamouda
Birmingham Legion FC","Kobe Hernández-Foster
Birmingham Legion FC","Maliek Howell
Birmingham Legion FC","Phanuel Kavita
Birmingham Legion FC","Ethan Kos
Birmingham Legion FC","Kameron Lacey
Birmingham Legion FC","Edwin Laszo
Birmingham Legion FC","Enzo Martínez
Birmingham Legion FC","Dawson McCartney
Birmingham Legion FC","Samuel McIllhatton
Birmingham Legion FC","Moses Mensah
Birmingham Legion FC","Tyler Pasher
Birmingham Legion FC","A.J. Paterson
Birmingham Legion FC","Jacob Rufe
Birmingham Legion FC","Sebastián Saucedo
Birmingham Legion FC","Samuel Shashoua
Birmingham Legion FC","Trevor Spangenberg
Birmingham Legion FC","Santiago Suarez
Birmingham Legion FC","Preston Tabort Etaka
Birmingham Legion FC","Ereku Temitayo
Birmingham Legion FC","Roman Torres
Birmingham Legion FC","Sebastian Tregarthen
Birmingham Legion FC","Daniel Trejo
Birmingham Legion FC","Stephen Turnbull
Birmingham Legion FC","Matt Van Oekel
Birmingham Legion FC"
"Games played","5.0","1.0","8.0",20,"2.0","10.0","18.0","16.0","11.0","3.0","0.0","16.0",19,10,"11.0","15.0",16,"9.0",19,"3.0","3.0","0.0","15.0","20.0","1.0","10.0",17,16,"14.0","15.0"
"Minutes played","450.0","1.0","288.0",1711,"41.0","738.0","1336.0","1124.0","887.0","205.0","0.0","980.0",1617,702,"397.0","982.0",1200,"689.0",1443,"44.0","224.0","0.0","1005.0","685.0","29.0","452.0",677,990,"827.0","1350.0"
"Starts","5.0","0.0","3.0",20,"0.0","8.0","15.0","12.0","11.0","3.0","0.0","12.0",18,8,"4.0","12.0",14,"8.0",15,"0.0","3.0","0.0","11.0","6.0","0.0","4.0",5,12,"9.0","15.0"
"Subbed on","0.0","1.0","5.0",0,"2.0","2.0","3.0","4.0","0.0","0.0","0.0","4.0",1,2,"7.0","3.0",2,"1.0",4,"3.0","0.0","0.0","4.0","14.0","1.0","6.0",12,4,"5.0","0.0"
"Subbed off","0.0","0.0","1.0",8,"0.0","2.0","4.0","3.0","3.0","2.0","0.0","6.0",2,3,"2.0","8.0",4,"4.0",2,"0.0","3.0","0.0","1.0","6.0","0.0","1.0",4,10,"4.0","0.0"
"Goals conceded","11.0","0.0","7.0",29,"0.0","14.0","21.0","23.0","15.0","4.0","0.0","17.0",28,16,"9.0","12.0",17,"11.0",25,"3.0","4.0","0.0","19.0","19.0","0.0","10.0",11,12,"15.0","21.0"
"Saves","9.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","45.0"
"Catches","2.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","11.0"
"Punches","5.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,"0.0","7.0"
"Goals","0.0","0.0","0.0",8,"0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0",3,1,"0.0","0.0",2,"0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,3,"0.0","0.0"
