"...1","Jackson Lee
Rhode Island FC","Isaac Angking
Rhode Island FC","Dwayne Atkinson
Rhode Island FC","Hugo Bacharach
Rhode Island FC","Joseph Brito
Rhode Island FC","Matthew Corcoran
Rhode Island FC","Cole Dewhurst
Rhode Island FC","Albert Dikwa
Rhode Island FC","Noah Fuson
Rhode Island FC","Zachary Herivaux
Rhode Island FC","Clay Holstad
Rhode Island FC","Rio Hope-Gund
Rhode Island FC","Jojea Kwizera
Rhode Island FC","Aimé Mabika
Rhode Island FC","Will Meyer
Rhode Island FC","Frank Nodarse
Rhode Island FC","Taimu Okiyoshi
Rhode Island FC","Maximiliano Rodríguez
Rhode Island FC","Daniel Rovira
Rhode Island FC","Koke Vegas
Rhode Island FC","Aldair Sanchez
Rhode Island FC","Amos Shapiro-Thompson
Rhode Island FC","Grant Stoneman
Rhode Island FC","Kevin Vang
Rhode Island FC","J.J. Williams
Rhode Island FC","Karifa Yao
Rhode Island FC","Marc Ybarra
Rhode Island FC"
"Games played","8.0","4.0","3.0","7.0",19,"4.0","0.0",20,21,16,22,"13.0","19.0","16.0","0.0","16.0","14.0",22,"6.0","14.0","21.0","20.0","14.0","1.0",11,"18.0","12.0"
"Minutes played","720.0","58.0","131.0","428.0",539,"333.0","0.0",1357,1525,880,1650,"833.0","1336.0","1120.0","0.0","1172.0","299.0",1595,"70.0","1260.0","1305.0","1038.0","938.0","6.0",779,"1429.0","880.0"
"Starts","8.0","0.0","1.0","5.0",5,"4.0","0.0",16,17,8,18,"9.0","15.0","13.0","0.0","14.0","3.0",19,"0.0","14.0","16.0","12.0","11.0","0.0",8,"16.0","10.0"
"Subbed on","0.0","4.0","2.0","2.0",14,"0.0","0.0",4,4,8,4,"4.0","4.0","3.0","0.0","2.0","11.0",3,"6.0","0.0","5.0","8.0","3.0","1.0",3,"2.0","2.0"
"Subbed off","0.0","0.0","1.0","2.0",5,"2.0","0.0",11,6,5,4,"4.0","6.0","9.0","0.0","3.0","3.0",13,"0.0","0.0","7.0","9.0","3.0","0.0",1,"1.0","4.0"
"Goals conceded","10.0","0.0","1.0","5.0",4,"3.0","0.0",20,16,10,19,"8.0","14.0","10.0","0.0","14.0","8.0",20,"0.0","13.0","17.0","9.0","11.0","0.0",11,"19.0","8.0"
"Saves","18.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","29.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Catches","7.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","11.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Punches","1.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","3.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Goals","0.0","0.0","0.0","0.0",1,"0.0","0.0",2,2,1,2,"0.0","0.0","0.0","0.0","0.0","0.0",3,"0.0","0.0","0.0","0.0","0.0","0.0",3,"0.0","0.0"
"Penalties","0.0","0.0","0.0","0.0",0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0",2,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0"
"Minutes per goal","-","-","-","-",539,"-","-",678.5,762.5,880,825,"-","-","-","-","-","-",531.7,"-","-","-","-","-","-",259.7,"-","-"
"Shots on target","0.0","0.0","0.0","0.0",5,"2.0","0.0",14,8,3,6,"0.0","5.0","1.0","0.0","2.0","0.0",17,"0.0","0.0","1.0","4.0","2.0","0.0",9,"3.0","1.0"
"Shooting accuracy","-","-","0.0","0.0",55.6,"100.0","-",66.7,34.8,60,42.9,"-","45.5","33.3","-","25.0","-",56.7,"-","-","25.0","66.7","100.0","-",33.3,"60.0","100.0"
"Successful crosses","0.0","0.0","0.0","0.0",4,"0.0","0.0",2,12,3,8,"0.0","18.0","0.0","0.0","1.0","2.0",2,"0.0","0.0","17.0","3.0","1.0","0.0",0,"0.0","1.0"
"Crossing accuracy","-","0.0","-","0.0",26.7,"0.0","-",20,34.3,50,25,"0.0","30.0","-","-","12.5","66.7",12.5,"0.0","0.0","36.2","27.3","33.3","-",0,"-","14.3"
"Assists","0.0","0.0","0.0","0.0",0,"0.0","0.0",3,0,0,1,"0.0","1.0","0.0","0.0","0.0","0.0",2,"0.0","0.0","2.0","0.0","1.0","0.0",0,"0.0","0.0"
