"...1","Triston Henry
Phoenix Rising FC","Alejandro Araneda
Phoenix Rising FC","Hope Avayevu
Phoenix Rising FC","Alexander Balanzar De la Cruz
Phoenix Rising FC","Pape Boye
Phoenix Rising FC","Rémi Cabral
Phoenix Rising FC","Emil Cuello
Phoenix Rising FC","Zachary DaSilva
Phoenix Rising FC","Charlie Dennis
Phoenix Rising FC","Giulio Doratiotto
Phoenix Rising FC","Xian Emmers
Phoenix Rising FC","Axel Essengue
Phoenix Rising FC","Ryan Flood
Phoenix Rising FC","Daniel Flores
Phoenix Rising FC","Dariusz Formella
Phoenix Rising FC","Anthony Hernandez
Phoenix Rising FC","Darius Johnson
Phoenix Rising FC","Darnell King
Phoenix Rising FC","Cyrus Kowall
Phoenix Rising FC","Jearl Margaritha
Phoenix Rising FC","Braxton Montgomery
Phoenix Rising FC","Harvey Neville
Phoenix Rising FC","Noble Okello
Phoenix Rising FC","Jamison Ping
Phoenix Rising FC","Patrick Rakovsky
Phoenix Rising FC","Damian Rivera
Phoenix Rising FC","Pierce Rizzo
Phoenix Rising FC","Ihsan Sacko
Phoenix Rising FC","Carl-Fred Sainte
Phoenix Rising FC","John Scearce
Phoenix Rising FC","Tristan Shaw
Phoenix Rising FC","Collin Smith
Phoenix Rising FC","Mohamed Traore
Phoenix Rising FC","Jan Villegas
Phoenix Rising FC","Casey Walls
Phoenix Rising FC"
"Games played","4.0","1.0",19,"0.0","8.0",11,13,"0.0",9,"1.0","8.0",11,7,"0.0",13,"0.0",15,"1.0","3.0",11,"16.0","8.0",16,"10.0","15.0",11,"4.0",19,"13.0","13.0","0.0",16,"6.0","0.0","2.0"
"Minutes played","360.0","1.0",1493,"0.0","608.0",729,635,"0.0",450,"1.0","375.0",16,3,"2.0",12,"0.0",540,"21.0","70.0",661,"1088.0","508.0",1205,"231.0","1350.0",552,"235.0",1235,"866.0","967.0","0.0",1395,"389.0","0.0","107.0"
"Starts","4.0","0.0",17,"0.0","7.0",9,7,"0.0",4,"0.0","5.0",0,0,"0.0",0,"0.0",3,"0.0","1.0",8,"13.0","6.0",15,"2.0","15.0",6,"3.0",14,"10.0","10.0","0.0",15,"4.0","0.0","1.0"
"Subbed on","0.0","1.0",2,"0.0","1.0",2,6,"0.0",5,"1.0","3.0",3,0,"1.0",1,"0.0",12,"1.0","2.0",3,"3.0","2.0",1,"8.0","0.0",5,"1.0",5,"3.0","3.0","0.0",1,"2.0","0.0","1.0"
"Subbed off","0.0","0.0",11,"0.0","0.0",7,4,"0.0",2,"0.0","5.0",0,0,"0.0",0,"0.0",1,"0.0","1.0",4,"4.0","4.0",7,"2.0","0.0",5,"3.0",8,"3.0","1.0","0.0",0,"0.0","0.0","1.0"
"Goals conceded","9.0","0.0",29,"0.0","15.0",13,17,"0.0",11,"0.0","10.0",19,13,"1.0",20,"0.0",16,"1.0","2.0",10,"17.0","15.0",20,"3.0","26.0",12,"8.0",27,"18.0","16.0","0.0",24,"8.0","0.0","5.0"
"Saves","11.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","39.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Catches","3.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","8.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Punches","1.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","10.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0",5,"0.0","0.0",3,1,"0.0",3,"0.0","0.0",1,1,"0.0",1,"0.0",1,"0.0","0.0",3,"0.0","0.0",2,"0.0","0.0",2,"0.0",4,"0.0","1.0","0.0",1,"1.0","0.0","0.0"
"Penalties","0.0","0.0",0,"0.0","0.0",1,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Minutes per goal","-","-",298.6,"-","-",243,635,"-",150,"-","-",1071,692,"-",1058,"-",540,"-","-",220.3,"-","-",602.5,"-","-",276,"-",308.8,"-","967.0","-",1395,"389.0","-","-"
"Shots on target","0.0","0.0",13,"0.0","1.0",7,1,"0.0",5,"0.0","1.0",2,1,"0.0",4,"0.0",3,"0.0","0.0",4,"0.0","1.0",2,"1.0","0.0",5,"0.0",8,"1.0","2.0","0.0",3,"2.0","0.0","0.0"
