"...1","Triston Henry
Phoenix Rising FC","Alejandro Araneda
Phoenix Rising FC","Kelvin Arase
Phoenix Rising FC","Hope Avayevu
Phoenix Rising FC","Alexander Balanzar De la Cruz
Phoenix Rising FC","Pape Boye
Phoenix Rising FC","Rémi Cabral
Phoenix Rising FC","Emil Cuello
Phoenix Rising FC","Rafael Czichos
Phoenix Rising FC","Zachary DaSilva
Phoenix Rising FC","Charlie Dennis
Phoenix Rising FC","Giulio Doratiotto
Phoenix Rising FC","Xian Emmers
Phoenix Rising FC","Axel Essengue
Phoenix Rising FC","Ryan Flood
Phoenix Rising FC","Daniel Flores
Phoenix Rising FC","Dariusz Formella
Phoenix Rising FC","Anthony Hernandez
Phoenix Rising FC","Darius Johnson
Phoenix Rising FC","Darnell King
Phoenix Rising FC","Cyrus Kowall
Phoenix Rising FC","Jearl Margaritha
Phoenix Rising FC","Braxton Montgomery
Phoenix Rising FC","Harvey Neville
Phoenix Rising FC","Noble Okello
Phoenix Rising FC","Jamison Ping
Phoenix Rising FC","Patrick Rakovsky
Phoenix Rising FC","Damian Rivera
Phoenix Rising FC","Pierce Rizzo
Phoenix Rising FC","Ihsan Sacko
Phoenix Rising FC","Carl-Fred Sainte
Phoenix Rising FC","John Scearce
Phoenix Rising FC...33","Tristan Shaw
Phoenix Rising FC","Collin Smith
Phoenix Rising FC","Mohamed Traore
Phoenix Rising FC","Jan Villegas
Phoenix Rising FC","John Scearce
Phoenix Rising FC...38","Casey Walls
Phoenix Rising FC"
"Games played","4.0","1.0","2.0",22,"0.0","10.0",13,13,"1.0","0.0",12,"1.0","11.0",15,14,"4.0",19,"0.0",17,"1.0","3.0",11,"16.0","11.0",19,"10.0","18.0",13,7,22,"16.0",16,"0.0",16,"6.0","0.0",16,"2.0"
"Minutes played","360.0","1.0","76.0",1738,"0.0","641.0",788,635,"14.0","0.0",553,"1.0","418.0",1314,751,"257.0",1059,"0.0",706,"21.0","70.0",661,"1088.0","670.0",1432,"231.0","1620.0",691,505,1491,"1128.0",1237,"0.0",1395,"389.0","0.0",1237,"107.0"
"Starts","4.0","0.0","1.0",20,"0.0","7.0",10,7,"0.0","0.0",4,"0.0","5.0",15,8,"3.0",12,"0.0",5,"0.0","1.0",8,"13.0","8.0",18,"2.0","18.0",8,6,17,"13.0",13,"0.0",15,"4.0","0.0",13,"1.0"
"Subbed on","0.0","1.0","1.0",2,"0.0","3.0",3,6,"1.0","0.0",8,"1.0","6.0",0,6,"1.0",7,"0.0",12,"1.0","2.0",3,"3.0","3.0",1,"8.0","0.0",5,1,5,"3.0",3,"0.0",1,"2.0","0.0",3,"1.0"
"Subbed off","0.0","0.0","1.0",13,"0.0","0.0",8,4,"0.0","0.0",2,"0.0","5.0",1,4,"3.0",6,"0.0",2,"0.0","1.0",4,"4.0","5.0",9,"2.0","0.0",7,3,10,"4.0",1,"0.0",0,"0.0","0.0",1,"1.0"
"Goals conceded","9.0","0.0","0.0",31,"0.0","18.0",14,17,"2.0","0.0",15,"0.0","12.0",21,16,"3.0",20,"0.0",18,"1.0","2.0",10,"17.0","17.0",24,"3.0","31.0",14,13,30,"23.0",21,"0.0",24,"8.0","0.0",21,"5.0"
"Saves","11.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","44.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0"
"Catches","3.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","10.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0"
"Punches","1.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","12.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0"
"Goals","0.0","0.0","0.0",6,"0.0","0.0",4,1,"0.0","0.0",3,"0.0","0.0",1,2,"0.0",1,"0.0",2,"0.0","0.0",3,"0.0","0.0",2,"0.0","0.0",2,2,6,"0.0",1,"0.0",1,"1.0","0.0",1,"0.0"
