"...1","Michael Creek
FC Tulsa","Trevor Amann
FC Tulsa","Lamar Batista
FC Tulsa","John Berner
FC Tulsa","Faysal Bettache
FC Tulsa","Andrew Booth
FC Tulsa","Taylor Calheira
FC Tulsa","Marcos Cerato
FC Tulsa","Abdoulaye Cissoko
FC Tulsa","Giordano Colli
FC Tulsa","Alex Dalou
FC Tulsa","Owen Damm
FC Tulsa","Boubacar Diallo
FC Tulsa","Bryan Dowd
FC Tulsa","Kalil ElMedkhar
FC Tulsa","Eliot Goldthorp
FC Tulsa","Anthony Harper
FC Tulsa","Cole Johnson
FC Tulsa","Edwin Laszo
FC Tulsa","Stefan Lukic
FC Tulsa","Johan Penaranda
FC Tulsa","Delentz Pierre
FC Tulsa","Arthur Rogers
FC Tulsa","Patrick Seagrist
FC Tulsa","Harvey St. Clair
FC Tulsa","Lucas Stauffer
FC Tulsa","Stefan Stojanovic
FC Tulsa","Al Hassan Toure
FC Tulsa","Jamie Webber
FC Tulsa"
"Games played","0.0","12.0",16,"0.0","9.0","2.0",20,18,"21.0",21,19,21,22,"2.0",20,22,"0.0","0.0","18.0",17,"20.0","16.0",16,7,18,"15.0","16.0","3.0",14
"Minutes played","0.0","196.0",1268,"0.0","349.0","4.0",1657,1193,"1765.0",1241,1058,1589,1872,"180.0",904,759,"0.0","0.0","1045.0",521,"1800.0","1028.0",1350,195,1316,"1013.0","860.0","154.0",577
"Starts","0.0","1.0",15,"0.0","3.0","0.0",19,13,"20.0",13,14,19,22,"2.0",9,7,"0.0","0.0","12.0",3,"20.0","10.0",15,2,15,"11.0","12.0","2.0",6
"Subbed on","0.0","11.0",1,"0.0","6.0","2.0",1,5,"1.0",8,5,2,0,"0.0",11,15,"0.0","0.0","6.0",14,"0.0","6.0",1,5,3,"4.0","4.0","1.0",8
"Subbed off","0.0","1.0",3,"0.0","3.0","0.0",6,5,"4.0",7,13,7,6,"0.0",9,7,"0.0","0.0","6.0",5,"0.0","1.0",1,2,6,"3.0","11.0","2.0",6
"Goals conceded","0.0","4.0",14,"0.0","5.0","0.0",21,18,"22.0",16,12,21,22,"2.0",10,13,"0.0","0.0","19.0",4,"23.0","12.0",17,3,18,"14.0","15.0","3.0",8
"Saves","0.0","0.0",0,"0.0","0.0","0.0",0,0,"0.0",0,0,0,0,"2.0",0,0,"0.0","0.0","0.0",0,"44.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Catches","0.0","0.0",0,"0.0","0.0","0.0",0,0,"0.0",0,0,0,0,"1.0",0,0,"0.0","0.0","0.0",0,"16.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Punches","0.0","0.0",0,"0.0","0.0","0.0",0,0,"0.0",0,0,0,0,"0.0",0,0,"0.0","0.0","0.0",0,"9.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Goals","0.0","2.0",1,"0.0","0.0","0.0",10,2,"0.0",1,4,1,1,"0.0",5,2,"0.0","0.0","0.0",4,"0.0","0.0",2,1,1,"0.0","0.0","0.0",1
