"...1","Nicholas Ammeter
Las Vegas Lights FC","Raiko Arozarena
Las Vegas Lights FC","Edison Azcona
Las Vegas Lights FC","Younes Boudadi
Las Vegas Lights FC","Shaft Brewer
Las Vegas Lights FC","Ashish Chattha
Las Vegas Lights FC","Vaughn Covil
Las Vegas Lights FC","Orrin McKinze Gaines II
Las Vegas Lights FC","Coleman Gannon
Las Vegas Lights FC","Joseph-Claude Gyau
Las Vegas Lights FC","Elias Gärtig
Las Vegas Lights FC","Anthony Herbert
Las Vegas Lights FC","Maliek Howell
Las Vegas Lights FC","Turner Humphrey
Las Vegas Lights FC","Nathaniel Jones
Las Vegas Lights FC","Patrick Leal
Las Vegas Lights FC","Tommy McNamara
Las Vegas Lights FC","Carver Miller
Las Vegas Lights FC","Gennaro Michael Nigro
Las Vegas Lights FC","Valentin Noël
Las Vegas Lights FC","Rory O'Driscoll
Las Vegas Lights FC","Christopher Pearson
Las Vegas Lights FC","Daouda Peeters
Las Vegas Lights FC","Nighte Pickering
Las Vegas Lights FC","Christian Pinzon
Las Vegas Lights FC","Johnny Rodriguez
Las Vegas Lights FC","Jack Singer
Las Vegas Lights FC","Shawn Smart
Las Vegas Lights FC","Stefan Stojanovic
Las Vegas Lights FC"
"Games played","4.0","19.0","9.0","15.0","5.0","1.0","10.0",17,10,17,"22.0",11,"16.0","2.0","14.0","18.0","3.0","0.0","20.0",22,"9.0","18.0","8.0",16,12,22,"9.0",14,"16.0"
"Minutes played","286.0","1694.0","558.0","1243.0","168.0","73.0","223.0",633,554,882,"1980.0",518,"1124.0","19.0","885.0","1402.0","152.0","0.0","1695.0",1880,"437.0","972.0","400.0",522,993,1856,"495.0",807,"860.0"
"Starts","3.0","19.0","7.0","14.0","2.0","1.0","2.0",7,5,8,"22.0",6,"12.0","0.0","11.0","17.0","1.0","0.0","19.0",22,"4.0","12.0","5.0",4,11,21,"7.0",8,"12.0"
"Subbed on","1.0","0.0","2.0","1.0","3.0","0.0","8.0",10,5,9,"0.0",5,"4.0","2.0","3.0","1.0","2.0","0.0","1.0",0,"5.0","6.0","3.0",12,1,1,"2.0",6,"4.0"
"Subbed off","0.0","1.0","4.0","3.0","2.0","1.0","4.0",7,0,5,"0.0",2,"3.0","0.0","7.0","9.0","0.0","0.0","2.0",4,"3.0","5.0","5.0",4,2,8,"5.0",3,"11.0"
"Goals conceded","7.0","32.0","10.0","29.0","6.0","0.0","7.0",8,13,14,"39.0",9,"23.0","1.0","24.0","22.0","2.0","0.0","33.0",38,"13.0","23.0","6.0",15,11,35,"8.0",10,"15.0"
"Saves","10.0","47.0","0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0",0,"0.0"
"Catches","2.0","11.0","0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0",0,"0.0"
"Punches","0.0","11.0","0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0",0,"0.0"
"Goals","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,1,1,"0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,"0.0","0.0","0.0",3,1,7,"0.0",2,"0.0"
"Penalties","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0","0.0",0,0,1,"0.0",0,"0.0"
"Minutes per goal","-","-","-","-","-","-","-",316.5,554,882,"-",518,"-","-","-","-","-","-","-",940,"-","-","-",174,993,265.1,"-",403.5,"-"
"Shots on target","0.0","0.0","0.0","1.0","0.0","0.0","0.0",7,2,3,"1.0",1,"1.0","0.0","0.0","0.0","0.0","0.0","2.0",11,"1.0","1.0","0.0",7,5,23,"0.0",3,"4.0"
"Shooting accuracy","-","-","0.0","100.0","0.0","0.0","-",53.8,28.6,33.3,"33.3",50,"16.7","-","-","0.0","0.0","-","33.3",44,"50.0","14.3","-",53.8,41.7,62.2,"-",60,"44.4"
"Successful crosses","0.0","0.0","0.0","3.0","0.0","0.0","0.0",3,2,6,"0.0",0,"0.0","0.0","1.0","3.0","0.0","0.0","12.0",4,"1.0","1.0","0.0",0,0,1,"0.0",1,"0.0"
"Crossing accuracy","-","-","0.0","15.0","0.0","0.0","0.0",15.8,12.5,25,"0.0",0,"-","-","33.3","23.1","-","-","22.2",22.2,"50.0","25.0","-",0,0,14.3,"0.0",6.7,"0.0"
