"...1","Michael Creek
FC Tulsa","Trevor Amann
FC Tulsa","Lamar Batista
FC Tulsa","Faysal Bettache
FC Tulsa","Andrew Booth
FC Tulsa","Taylor Calheira
FC Tulsa","Abdoulaye Cissoko
FC Tulsa","Giordano Colli
FC Tulsa","Alex Dalou
FC Tulsa","Owen Damm
FC Tulsa","Boubacar Diallo
FC Tulsa","Bryan Dowd
FC Tulsa","Kalil ElMedkhar
FC Tulsa","Eliot Goldthorp
FC Tulsa","Anthony Harper
FC Tulsa","Cole Johnson
FC Tulsa","Edwin Laszo
FC Tulsa","Stefan Lukic
FC Tulsa","Johan Penaranda
FC Tulsa","Delentz Pierre
FC Tulsa","Arthur Rogers
FC Tulsa","Patrick Seagrist
FC Tulsa","Marcos Serrato
FC Tulsa","Harvey St. Clair
FC Tulsa","Lucas Stauffer
FC Tulsa","Stefan Stojanovic
FC Tulsa","Al Hassan Toure
FC Tulsa","Jamie Webber
FC Tulsa"
"Games played","0.0","9.0",13,"6.0","2.0",17,"18.0",19,16,18,19,"2.0",17,19,"0.0","0.0","16.0",14,"17.0","13.0",16,7,15,15,"13.0","13.0","3.0",12
"Minutes played","0.0","162.0",1054,"121.0","4.0",1420,"1495.0",1151,951,1336,1647,"180.0",740,568,"0.0","0.0","980.0",443,"1530.0","758.0",1350,195,973,1118,"912.0","731.0","154.0",524
"Starts","0.0","1.0",12,"0.0","0.0",16,"17.0",13,13,16,19,"2.0",7,4,"0.0","0.0","12.0",3,"17.0","7.0",15,2,10,13,"10.0","10.0","2.0",6
"Subbed on","0.0","8.0",1,"6.0","2.0",1,"1.0",6,3,2,0,"0.0",10,15,"0.0","0.0","4.0",11,"0.0","6.0",1,5,5,2,"3.0","3.0","1.0",6
"Subbed off","0.0","1.0",1,"0.0","0.0",3,"4.0",7,12,6,5,"0.0",7,4,"0.0","0.0","6.0",5,"0.0","1.0",1,2,3,6,"3.0","9.0","2.0",6
"Goals conceded","0.0","3.0",12,"1.0","0.0",19,"19.0",14,10,18,21,"2.0",9,11,"0.0","0.0","17.0",3,"20.0","9.0",17,3,15,16,"12.0","13.0","3.0",8
"Saves","0.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,0,"2.0",0,0,"0.0","0.0","0.0",0,"36.0","0.0",0,0,0,0,"0.0","0.0","0.0",0
"Catches","0.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,0,"1.0",0,0,"0.0","0.0","0.0",0,"12.0","0.0",0,0,0,0,"0.0","0.0","0.0",0
"Punches","0.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,0,"0.0",0,0,"0.0","0.0","0.0",0,"6.0","0.0",0,0,0,0,"0.0","0.0","0.0",0
"Goals","0.0","2.0",1,"0.0","0.0",10,"0.0",1,4,1,1,"0.0",4,2,"0.0","0.0","0.0",4,"0.0","0.0",2,1,2,1,"0.0","0.0","0.0",1
