"...1","Carlos Herrera
Detroit City FC","Jordan Adebayo-Smith
Detroit City FC","Devon Amoo-Mensah
Detroit City FC","Michael Bryant
Detroit City FC","Stephen Carroll
Detroit City FC","Jeciel Cedeno
Detroit City FC","Jay Chapman
Detroit City FC","Abdoulaye Diop
Detroit City FC","Alasanne Ates Diouf
Detroit City FC","Morey Doner
Detroit City FC","Zain Elder
Detroit City FC","Dominic Gasso
Detroit City FC","Sebastián Guenzatti
Detroit City FC","Kobe Hernández-Foster
Detroit City FC","Ben Morris
Detroit City FC","Tatenda Mukuruva
Detroit City FC","Bilal Obeid
Detroit City FC","Marcello Polisi
Detroit City FC","Connor Rutz
Detroit City FC","Carlos Saldaña
Detroit City FC","Matthew Sheldon
Detroit City FC","Darren Smith
Detroit City FC","Alex Villanueva
Detroit City FC","Shane Wiedt
Detroit City FC","Ryan Williams
Detroit City FC","Rhys Williams
Detroit City FC","Haruki Yamazaki
Detroit City FC"
"Games played","11.0","8.0","15.0",18,"10.0",18,15,"6.0",12,12,"0.0","6.0","10.0","16.0",12,"0.0","0.0","8.0",17,"7.0","8.0",18,18,"16.0","12.0","15.0","10.0"
"Minutes played","990.0","226.0","1350.0",1481,"838.0",1139,1115,"299.0",402,663,"0.0","363.0","280.0","1156.0",800,"0.0","0.0","421.0",730,"630.0","327.0",1283,1343,"1257.0","889.0","952.0","387.0"
"Starts","11.0","1.0","15.0",17,"9.0",13,12,"4.0",3,6,"0.0","4.0","2.0","13.0",10,"0.0","0.0","5.0",8,"7.0","4.0",16,16,"14.0","10.0","11.0","4.0"
"Subbed on","0.0","7.0","0.0",1,"1.0",5,3,"2.0",9,6,"0.0","2.0","8.0","3.0",2,"0.0","0.0","3.0",9,"0.0","4.0",2,2,"2.0","2.0","4.0","6.0"
"Subbed off","0.0","1.0","0.0",2,"0.0",12,2,"4.0",0,1,"0.0","1.0","2.0","4.0",8,"0.0","0.0","3.0",7,"0.0","2.0",11,8,"4.0","3.0","6.0","3.0"
"Goals conceded","14.0","4.0","20.0",23,"9.0",17,15,"4.0",5,5,"0.0","6.0","4.0","20.0",13,"0.0","0.0","8.0",8,"9.0","7.0",14,21,"17.0","12.0","13.0","6.0"
"Saves","21.0","0.0","0.0",0,"0.0",0,0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"12.0","0.0",0,0,"0.0","0.0","0.0","0.0"
"Catches","13.0","0.0","0.0",0,"0.0",0,0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"3.0","0.0",0,0,"0.0","0.0","0.0","0.0"
"Punches","1.0","0.0","0.0",0,"0.0",0,0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"3.0","0.0",0,0,"0.0","0.0","0.0","0.0"
"Goals","0.0","0.0","0.0",2,"0.0",2,1,"0.0",2,1,"0.0","0.0","0.0","0.0",2,"0.0","0.0","0.0",2,"0.0","0.0",7,1,"0.0","0.0","0.0","0.0"
"Penalties","0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0"
"Minutes per goal","-","-","-",740.5,"-",569.5,1115,"-",201,663,"-","-","-","-",400,"-","-","-",365,"-","-",183.3,1343,"-","-","-","-"
"Shots on target","0.0","1.0","2.0",2,"2.0",10,3,"2.0",8,1,"0.0","0.0","0.0","5.0",5,"0.0","0.0","0.0",3,"0.0","0.0",14,4,"0.0","1.0","1.0","2.0"
"Shooting accuracy","-","50.0","33.3",28.6,"50.0",47.6,33.3,"100.0",50,25,"-","0.0","-","38.5",55.6,"-","-","-",60,"-","0.0",66.7,26.7,"0.0","33.3","20.0","40.0"
"Successful crosses","0.0","0.0","0.0",0,"0.0",4,0,"0.0",1,5,"0.0","1.0","0.0","3.0",3,"0.0","0.0","0.0",1,"0.0","2.0",3,8,"0.0","2.0","12.0","2.0"
"Crossing accuracy","-","-","0.0",0,"-",14.3,0,"0.0",12.5,20,"-","100.0","0.0","27.3",27.3,"-","-","0.0",16.7,"-","15.4",50,14.3,"0.0","16.7","25.0","18.2"
