"...1","Alex Tambakis
New Mexico United","Mukwelle Akale
New Mexico United","Thomas Amang
New Mexico United","Luther Archimède
New Mexico United","Zico Bailey
New Mexico United","Daniel Bruce
New Mexico United","Djibril Doumbia
New Mexico United","Jackson DuBois
New Mexico United","Ricks Ford
New Mexico United","Orrin McKinze Gaines II
New Mexico United","Christopher Gloster
New Mexico United","Dayonn Harris
New Mexico United","Anthony Herbert
New Mexico United","Kyle Hofmann
New Mexico United","Greg Hurst
New Mexico United","Ousman Jabang
New Mexico United","Kipp Keller
New Mexico United","Jaylin Lindsey
New Mexico United","Derek Lozano
New Mexico United","Jon-Talen Maples
New Mexico United","Carlos Moguel
New Mexico United","Luiz Fernando
New Mexico United","Valentin Noël
New Mexico United","Tomas Pondeca
New Mexico United","Sergio Rivas
New Mexico United","Kalen Ryden
New Mexico United","Jace Sais
New Mexico United","Will Seymore
New Mexico United","Kristopher Shakes
New Mexico United","Marlon Vargas
New Mexico United","Gedion Zelalem
New Mexico United"
"Games played","15.0",20,14,"6.0",17,"10.0","0.0","1.0","3.0",18,17,"6.0",12,"0.0",12,18,"3.0",21,"0.0",20,"10.0",16,23,"13.0","15.0","14.0","1.0",21,"7.0",17,"16.0"
"Minutes played","1317.0",1614,583,"162.0",1380,"187.0","0.0","12.0","8.0",703,1162,"214.0",608,"0.0",909,1426,"270.0",1530,"0.0",1577,"236.0",1207,1970,"238.0","515.0","1041.0","3.0",1449,"570.0",1190,"1081.0"
"Starts","15.0",19,7,"0.0",16,"0.0","0.0","0.0","0.0",8,13,"1.0",7,"0.0",11,17,"3.0",17,"0.0",17,"3.0",14,23,"2.0","4.0","12.0","0.0",16,"6.0",14,"13.0"
"Subbed on","0.0",1,7,"6.0",1,"10.0","0.0","1.0","3.0",10,4,"5.0",5,"0.0",1,1,"0.0",4,"0.0",3,"7.0",2,0,"11.0","11.0","2.0","1.0",5,"1.0",3,"3.0"
"Subbed off","0.0",10,7,"0.0",7,"0.0","0.0","0.0","0.0",8,5,"1.0",2,"0.0",6,8,"0.0",4,"0.0",0,"3.0",7,4,"3.0","2.0","1.0","0.0",6,"0.0",10,"9.0"
"Goals conceded","20.0",27,8,"3.0",24,"4.0","0.0","1.0","0.0",8,24,"4.0",9,"0.0",15,22,"2.0",24,"0.0",26,"3.0",18,38,"4.0","8.0","6.0","0.0",22,"10.0",18,"20.0"
"Saves","37.0",0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,0,"0.0",0,"0.0",0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"16.0",0,"0.0"
"Catches","6.0",0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,0,"0.0",0,"0.0",0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"10.0",0,"0.0"
"Punches","2.0",0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,0,"0.0",0,"0.0",0,"0.0",0,0,"0.0","0.0","0.0","0.0",0,"1.0",0,"0.0"
"Goals","0.0",2,2,"1.0",1,"0.0","0.0","0.0","0.0",2,1,"0.0",1,"0.0",4,2,"0.0",1,"0.0",3,"1.0",4,2,"0.0","0.0","0.0","0.0",1,"0.0",2,"0.0"
