"...1","Felipe Rodriguez
Miami FC","Aaron Acloque
Miami FC","Boluwatife Akinyode
Miami FC","Victor Arana
Miami FC","Sebastián Blanco
Miami FC","Francisco Bonfiglio
Miami FC","Brandon Brant
Miami FC","Nicolás Cardona
Miami FC","Francesco Celeste
Miami FC","Lucas DePaula
Miami FC","Gerald Díaz
Miami FC","César García
Miami FC","Allen Gavilanes
Miami FC","Bill Hamid
Miami FC","Kevin Hoyos
Miami FC","Juan Jiménez
Miami FC","Daltyn Knutson
Miami FC","Michael Lawrence
Miami FC","Rafael Martell
Miami FC","Tobias Mas
Miami FC","Lucas Melano
Miami FC","Diego Mercado
Miami FC","Alejandro Mitrano
Miami FC","Alexander Naranjo
Miami FC","Jonathan Ricketts
Miami FC","Ricardo Rivera
Miami FC","Felipe Rodríguez
Miami FC","Matías Romero
Miami FC","Deian Veron
Miami FC","Cristian Vázquez
Miami FC","Tobías Zarate
Miami FC"
"Games played","4.0","1.0","18.0","0.0",15,18,"9.0","14.0","13.0","0.0","6.0","1.0","13.0","15.0",5,"0.0",18,"7.0","1.0","0.0",19,"16.0","10.0","0.0","18.0","6.0","1.0",18,"19.0","18.0","13.0"
"Minutes played","360.0","54.0","1600.0","0.0",977,1547,"337.0","867.0","443.0","0.0","131.0","30.0","671.0","1305.0",98,"0.0",1620,"124.0","45.0","0.0",1218,"1258.0","667.0","0.0","1598.0","138.0","61.0",1523,"616.0","1071.0","344.0"
"Starts","4.0","1.0","18.0","0.0",14,18,"3.0","10.0","3.0","0.0","0.0","0.0","7.0","15.0",0,"0.0",18,"0.0","0.0","0.0",15,"16.0","7.0","0.0","18.0","1.0","1.0",18,"5.0","14.0","3.0"
"Subbed on","0.0","0.0","0.0","0.0",1,0,"6.0","4.0","10.0","0.0","6.0","1.0","6.0","0.0",5,"0.0",0,"7.0","1.0","0.0",4,"0.0","3.0","0.0","0.0","5.0","0.0",0,"14.0","4.0","10.0"
"Subbed off","0.0","1.0","0.0","0.0",12,4,"2.0","5.0","3.0","0.0","0.0","0.0","7.0","1.0",0,"0.0",0,"0.0","0.0","0.0",13,"8.0","4.0","0.0","2.0","1.0","1.0",2,"5.0","13.0","3.0"
"Goals conceded","7.0","0.0","26.0","0.0",14,22,"7.0","14.0","5.0","0.0","4.0","0.0","14.0","19.0",1,"0.0",25,"2.0","1.0","0.0",18,"20.0","9.0","0.0","24.0","6.0","0.0",24,"11.0","17.0","4.0"
"Saves","14.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","42.0",0,"0.0",0,"0.0","2.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Catches","3.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0",0,"0.0",0,"0.0","1.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Punches","1.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0","0.0","0.0",1,11,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0",2,"0.0","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0","0.0"
