"...1","Jared Mazzola
Sacramento Republic FC","Trevor Amann
Sacramento Republic FC","Khori Bennett
Sacramento Republic FC","Michelle Benítez
Sacramento Republic FC","Russell Cicerone
Sacramento Republic FC","Tyler Clegg
Sacramento Republic FC","Lee Desmond
Sacramento Republic FC","Rayan Djedje
Sacramento Republic FC","Aaron Edwards
Sacramento Republic FC","Luis Felipe
Sacramento Republic FC","Jack Gurr
Sacramento Republic FC","Juan Sebastián Herrera
Sacramento Republic FC","Lewis Jamieson
Sacramento Republic FC","Da'vian Kimbrough
Sacramento Republic FC","Frederik Kleemann
Sacramento Republic FC","Rodrigo López
Sacramento Republic FC","Jackson Martin
Sacramento Republic FC","Cristian Parano
Sacramento Republic FC","Justin Portillo
Sacramento Republic FC","Nick Ross
Sacramento Republic FC","Ryan Spaulding
Sacramento Republic FC","Jared Timmer
Sacramento Republic FC","Chibuike Ukaegbu
Sacramento Republic FC","Daniel Vitiello
Sacramento Republic FC","Dominik Wanner
Sacramento Republic FC","Blake Willey
Sacramento Republic FC"
"Games played","0.0","12.0","5.0",21,19,"7.0",16,"4.0",14,"18.0",20,19,12,"1.0","20.0",17,"0.0",20,"2.0",17,"12.0","15.0","12.0","21.0",14,"20.0"
"Minutes played","0.0","196.0","219.0",1787,1462,"340.0",1431,"125.0",258,"947.0",1573,1103,467,"5.0","1689.0",810,"0.0",1347,"83.0",1287,"526.0","1280.0","630.0","1890.0",658,"1137.0"
"Starts","0.0","1.0","2.0",20,17,"4.0",16,"1.0",2,"9.0",18,13,6,"0.0","20.0",9,"0.0",15,"1.0",14,"6.0","15.0","6.0","21.0",7,"13.0"
"Subbed on","0.0","11.0","3.0",1,2,"3.0",0,"3.0",12,"9.0",2,6,6,"1.0","0.0",8,"0.0",5,"1.0",3,"6.0","0.0","6.0","0.0",7,"7.0"
"Subbed off","0.0","1.0","2.0",4,9,"1.0",2,"1.0",2,"1.0",5,11,5,"0.0","5.0",9,"0.0",11,"1.0",4,"6.0","2.0","2.0","0.0",5,"8.0"
"Goals conceded","0.0","4.0","2.0",15,14,"8.0",9,"1.0",4,"9.0",12,10,6,"0.0","16.0",7,"0.0",12,"0.0",8,"7.0","8.0","10.0","17.0",5,"12.0"
"Saves","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,0,0,"0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","48.0",0,"0.0"
"Catches","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,0,0,"0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","22.0",0,"0.0"
"Punches","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,0,0,"0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","8.0",0,"0.0"
"Goals","0.0","2.0","3.0",1,5,"0.0",1,"0.0",1,"0.0",2,4,2,"0.0","0.0",3,"0.0",5,"0.0",1,"0.0","0.0","0.0","0.0",1,"0.0"
