"...1","Jake McGuire
North Carolina FC","Ahmad Al-Qaq
North Carolina FC","Oalex Anderson
North Carolina FC","Ezra Armstrong
North Carolina FC","Raul Avalos
North Carolina FC","Rodrigo da Costa
North Carolina FC","Patrick Burner
North Carolina FC","Evan Conway
North Carolina FC","Paco Craig
North Carolina FC","Pedro Dolabella
North Carolina FC","Conor Donovan
North Carolina FC","Rafael Mentzingen
North Carolina FC","Akira Fitzgerald
North Carolina FC","Triston Hodge
North Carolina FC","Adam Luckhurst
North Carolina FC","Michael Maldonado
North Carolina FC","Justin Malou
North Carolina FC","Collin Martin
North Carolina FC","Trevor Mulqueen
North Carolina FC","Louis Pérez
North Carolina FC","Jayson Quintanilla
North Carolina FC","Thomas Roberts
North Carolina FC","Jaden Servania
North Carolina FC","Raheem Sommersall
North Carolina FC","Finn Sundstrom
North Carolina FC","Bryce Washington
North Carolina FC"
"Games played","17.0","14.0",12,"3.0","0.0",12,"13.0",14,16,17,"10.0",18,"0.0","11.0","14.0",19,"1.0","10.0","2.0",19,"0.0","1.0",16,"16.0","17.0","15.0"
"Minutes played","1530.0","363.0",639,"148.0","0.0",449,"744.0",1013,1091,1298,"658.0",1513,"0.0","637.0","415.0",1653,"1.0","771.0","180.0",1140,"0.0","6.0",988,"837.0","1472.0","1274.0"
"Starts","17.0","4.0",7,"2.0","0.0",5,"8.0",11,12,15,"7.0",18,"0.0","7.0","4.0",18,"0.0","10.0","2.0",12,"0.0","0.0",10,"9.0","16.0","15.0"
"Subbed on","0.0","10.0",5,"1.0","0.0",7,"5.0",3,4,2,"3.0",0,"0.0","4.0","10.0",1,"1.0","0.0","0.0",7,"0.0","1.0",6,"7.0","1.0","0.0"
"Subbed off","0.0","4.0",5,"2.0","0.0",5,"4.0",6,2,8,"1.0",6,"0.0","1.0","2.0",0,"0.0","9.0","0.0",10,"0.0","0.0",4,"3.0","3.0","3.0"
"Goals conceded","20.0","9.0",16,"1.0","0.0",8,"13.0",14,18,17,"13.0",23,"0.0","8.0","4.0",26,"1.0","10.0","6.0",14,"0.0","0.0",15,"12.0","23.0","15.0"
"Saves","46.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","2.0",0,"0.0","0.0",0,"0.0","0.0","0.0"
"Catches","13.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0",0,"0.0","0.0","0.0"
"Punches","1.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","1.0",0,"0.0","0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0",2,"0.0","0.0",1,"0.0",6,1,6,"1.0",3,"0.0","0.0","1.0",1,"0.0","0.0","0.0",3,"0.0","0.0",2,"0.0","1.0","0.0"
