"...1","Bill Hamid
Miami FC","Aaron Acloque
Miami FC","Boluwatife Akinyode
Miami FC","Victor Arana
Miami FC","Sebastián Blanco
Miami FC","Francisco Bonfiglio
Miami FC","Brandon Brant
Miami FC","Nicolás Cardona
Miami FC","Francesco Celeste
Miami FC","Lucas DePaula
Miami FC","Gerald Díaz
Miami FC","César García
Miami FC","Allen Gavilanes
Miami FC","Kevin Hoyos
Miami FC","Juan Jiménez
Miami FC","Daltyn Knutson
Miami FC","Michael Lawrence
Miami FC","Rafael Martell
Miami FC","Tobias Mas
Miami FC","Lucas Melano
Miami FC","Diego Mercado
Miami FC","Alejandro Mitrano
Miami FC","Alexander Naranjo
Miami FC","Jonathan Ricketts
Miami FC","Ricardo Rivera
Miami FC","Felipe Rodriguez
Miami FC","Felipe Rodríguez
Miami FC","Matías Romero
Miami FC","Deian Veron
Miami FC","Cristian Vázquez
Miami FC","Tobías Zarate
Miami FC"
"Games played","14.0","1.0","18.0","0.0",14,17,"9.0","13.0","12.0","0.0","6.0","0.0","12.0",5,"0.0",17,"6.0","1.0","0.0",18,"16.0","10.0","0.0","17.0","6.0","4.0","0.0",17,"18.0","17.0","12.0"
"Minutes played","1215.0","54.0","1600.0","0.0",941,1457,"337.0","777.0","382.0","0.0","131.0","0.0","587.0",98,"0.0",1530,"117.0","45.0","0.0",1188,"1258.0","667.0","0.0","1508.0","138.0","360.0","0.0",1433,"586.0","1010.0","290.0"
"Starts","14.0","1.0","18.0","0.0",13,17,"3.0","9.0","2.0","0.0","0.0","0.0","6.0",0,"0.0",17,"0.0","0.0","0.0",15,"16.0","7.0","0.0","17.0","1.0","4.0","0.0",17,"5.0","13.0","3.0"
"Subbed on","0.0","0.0","0.0","0.0",1,0,"6.0","4.0","10.0","0.0","6.0","0.0","6.0",5,"0.0",0,"6.0","1.0","0.0",3,"0.0","3.0","0.0","0.0","5.0","0.0","0.0",0,"13.0","4.0","9.0"
"Subbed off","1.0","1.0","0.0","0.0",11,4,"2.0","5.0","2.0","0.0","0.0","0.0","6.0",0,"0.0",0,"0.0","0.0","0.0",13,"8.0","4.0","0.0","2.0","1.0","0.0","0.0",2,"5.0","12.0","3.0"
"Goals conceded","19.0","0.0","26.0","0.0",14,22,"7.0","14.0","5.0","0.0","4.0","0.0","14.0",1,"0.0",25,"2.0","1.0","0.0",18,"20.0","9.0","0.0","24.0","6.0","7.0","0.0",24,"11.0","17.0","4.0"
"Saves","38.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0","2.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","14.0","0.0",0,"0.0","0.0","0.0"
"Catches","15.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0","1.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","3.0","0.0",0,"0.0","0.0","0.0"
"Punches","3.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0","0.0","1.0","0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0","0.0","0.0",1,11,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0",2,"0.0","0.0","0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0","0.0"
