"...1","Sam Gomez
Monterey Bay FC","Luther Archimède
Monterey Bay FC","Ethan Bryant
Monterey Bay FC","Nico Campuzano
Monterey Bay FC","Hugh Alexander Dixon
Monterey Bay FC","Mobi Fehr
Monterey Bay FC","Wesley Fonguck
Monterey Bay FC","Pierce Gallaway
Monterey Bay FC","Joel Garcia
Monterey Bay FC","Paul Gindiri
Monterey Bay FC","Xavi Gnaulati
Monterey Bay FC","Nico Gordon
Monterey Bay FC","Sami Guediri
Monterey Bay FC","Diego Gutiérrez
Monterey Bay FC","Carlos Guzmán
Monterey Bay FC","Luke Ivanovic
Monterey Bay FC","John Klein
Monterey Bay FC","Alejandro Lara
Monterey Bay FC","Adam Larsson
Monterey Bay FC","Miles Lyons
Monterey Bay FC","Mayele Malango
Monterey Bay FC","Jacob Muir
Monterey Bay FC","Dallas Odle
Monterey Bay FC","Adrian Rebollar
Monterey Bay FC","Grant Robinson
Monterey Bay FC","Anton Sojberg Horup
Monterey Bay FC"
"Games played","3.0","3.0","11.0","18.0","6.0","12.0","9.0","6.0","20.0",38,"16.0","17.0","11.0","3.0",16,17,13,"10.0",12,"12.0",19,"5.0","0.0",18,"12.0",16
"Minutes played","226.0","74.0","362.0","1574.0","254.0","668.0","29.0","7.0","18.0",51,"13.0","1518.0","712.0","86.0",1288,920,415,"604.0",621,"700.0",1090,"405.0","0.0",1484,"772.0",995
"Starts","2.0","0.0","4.0","18.0","3.0","8.0","0.0","0.0","0.0",0,"1.0","17.0","9.0","0.0",14,10,4,"6.0",5,"8.0",13,"5.0","0.0",17,"7.0",12
"Subbed on","1.0","3.0","7.0","0.0","3.0","4.0","3.0","2.0","4.0",4,"2.0","0.0","2.0","3.0",2,7,9,"4.0",7,"4.0",6,"0.0","0.0",1,"5.0",4
"Subbed off","0.0","0.0","4.0","1.0","3.0","4.0","0.0","0.0","1.0",0,"0.0","1.0","5.0","0.0",1,7,4,"0.0",2,"3.0",10,"1.0","0.0",4,"0.0",11
"Goals conceded","5.0","2.0","3.0","22.0","4.0","12.0","21.0","8.0","23.0",17,"10.0","22.0","11.0","0.0",17,15,5,"13.0",10,"9.0",18,"7.0","0.0",18,"14.0",14
"Saves","7.0","0.0","0.0","61.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",0
"Catches","2.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",0
"Punches","3.0","0.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",0
"Goals","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",4,"0.0","0.0","0.0","0.0",1,4,2,"0.0",1,"0.0",4,"0.0","0.0",2,"0.0",4
"Penalties","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0","0.0","0.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",1
"Minutes per goal","-","-","-","-","-","-","-","-","-",312.3,"-","-","-","-",1288,230,207.5,"-",621,"-",272.5,"-","-",742,"-",248.8
"Shots on target","0.0","0.0","3.0","0.0","0.0","0.0","2.0","0.0","1.0",5,"4.0","0.0","1.0","0.0",1,14,7,"0.0",3,"2.0",12,"0.0","0.0",2,"2.0",14
