"...1","Kendall McIntosh
Oakland Roots SC","Ilya Alekseev
Oakland Roots SC","Panos Armenakas
Oakland Roots SC","Faysal Bettache
Oakland Roots SC","Julian Bravo
Oakland Roots SC","Bobosi Byaruhanga
Oakland Roots SC","Thomas Camier
Oakland Roots SC","Jürgen Damm
Oakland Roots SC","Morey Doner
Oakland Roots SC","Ali Elmasnaouy
Oakland Roots SC","Tyler Gibson
Oakland Roots SC","Kai Greene
Oakland Roots SC","Daniel Gómez
Oakland Roots SC","Neveal Hackshaw
Oakland Roots SC","Emmanuel Johnson
Oakland Roots SC","Gagi Margvelashvili
Oakland Roots SC","Julio Martinez
Oakland Roots SC","Abdi Mohamed
Oakland Roots SC","Baboucarr Njie
Oakland Roots SC","Wolfgang Prentice
Oakland Roots SC","Justin Rasmussen
Oakland Roots SC","Camden Riley
Oakland Roots SC","Luis Saldana
Oakland Roots SC","José Sinisterra
Oakland Roots SC","Raphael Spiegel
Oakland Roots SC","Timothy Syrel
Oakland Roots SC","Daniel Trejo
Oakland Roots SC","Peter Wilson
Oakland Roots SC"
"Games played","22.0","12.0",25,"14.0","18.0","19.0","0.0",19,21,"18.0","23.0",22,25,25,21,"18.0","0.0","8.0",17,25,9,11,"5.0",16,"5.0","0.0",20,"24.0"
"Minutes played","1935.0","301.0",1823,"647.0","1177.0","1268.0","0.0",810,1417,"922.0","1549.0",1852,1571,2236,469,"1218.0","0.0","409.0",849,1585,350,493,"21.0",1019,"405.0","0.0",1132,"1881.0"
"Starts","22.0","4.0",21,"7.0","15.0","12.0","0.0",8,15,"12.0","17.0",21,16,25,3,"13.0","0.0","3.0",10,18,3,6,"0.0",12,"4.0","0.0",13,"22.0"
"Subbed on","0.0","8.0",4,"7.0","3.0","7.0","0.0",11,6,"6.0","6.0",1,9,0,18,"5.0","0.0","5.0",7,7,6,5,"5.0",4,"1.0","0.0",7,"2.0"
"Subbed off","1.0","4.0",11,"7.0","7.0","3.0","0.0",7,6,"10.0","6.0",2,5,3,3,"3.0","0.0","0.0",6,12,3,4,"0.0",12,"0.0","0.0",11,"9.0"
"Goals conceded","32.0","6.0",35,"13.0","20.0","23.0","0.0",18,21,"16.0","29.0",36,34,39,9,"21.0","0.0","10.0",15,28,8,10,"1.0",17,"12.0","0.0",16,"32.0"
"Saves","62.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0",0,0,0,0,"0.0",0,"11.0","0.0",0,"0.0"
"Catches","8.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0",0,0,0,0,"0.0",0,"1.0","0.0",0,"0.0"
"Punches","12.0","0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0",0,0,0,0,"0.0","0.0","0.0",0,0,0,0,"0.0",0,"2.0","0.0",0,"0.0"
"Goals","0.0","0.0",1,"0.0","0.0","0.0","0.0",2,2,"0.0","0.0",1,1,1,1,"0.0","0.0","0.0",1,4,1,1,"0.0",2,"0.0","0.0",4,"13.0"
