"...1","Alex Tambakis
New Mexico United","Mukwelle Akale
New Mexico United","Thomas Amang
New Mexico United","Zico Bailey
New Mexico United","Daniel Bruce
New Mexico United","Djibril Doumbia
New Mexico United","Jackson DuBois
New Mexico United","Ricks Ford
New Mexico United","Orrin McKinze Gaines II
New Mexico United","Christopher Gloster
New Mexico United","Dayonn Harris
New Mexico United","Anthony Herbert
New Mexico United","Kyle Hofmann
New Mexico United","Greg Hurst
New Mexico United","Ousman Jabang
New Mexico United","Jaylin Lindsey
New Mexico United","Derek Lozano
New Mexico United","Jon-Talen Maples
New Mexico United","Luiz Fernando
New Mexico United","Valentin Noël
New Mexico United","Tomas Pondeca
New Mexico United","Sergio Rivas
New Mexico United","Kalen Ryden
New Mexico United","Jace Sais
New Mexico United","Will Seymore
New Mexico United","Kristopher Shakes
New Mexico United","Marlon Vargas
New Mexico United","Gedion Zelalem
New Mexico United"
"Games played","15.0",18,12,14,"10.0","0.0","1.0","3.0",15,14,"3.0",9,"0.0",9,15,18,"0.0",18,16,20,"13.0","12.0","11.0","1.0",18,"4.0",17,"16.0"
"Minutes played","1317.0",1476,446,1110,"187.0","0.0","12.0","8.0",525,918,"92.0",338,"0.0",656,1238,1340,"0.0",1551,1207,1700,"238.0","433.0","918.0","3.0",1195,"300.0",1190,"1081.0"
"Starts","15.0",17,5,13,"0.0","0.0","0.0","0.0",6,10,"0.0",4,"0.0",8,15,15,"0.0",17,14,20,"2.0","3.0","11.0","0.0",13,"3.0",14,"13.0"
"Subbed on","0.0",1,7,1,"10.0","0.0","1.0","3.0",9,4,"3.0",5,"0.0",1,0,3,"0.0",1,2,0,"11.0","9.0","0.0","1.0",5,"1.0",3,"3.0"
"Subbed off","0.0",8,5,7,"0.0","0.0","0.0","0.0",6,3,"0.0",2,"0.0",5,6,4,"0.0",0,7,4,"3.0","1.0","1.0","0.0",5,"0.0",10,"9.0"
"Goals conceded","20.0",26,7,22,"4.0","0.0","1.0","0.0",7,22,"3.0",7,"0.0",13,20,22,"0.0",26,18,36,"4.0","8.0","6.0","0.0",20,"8.0",18,"20.0"
"Saves","37.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"8.0",0,"0.0"
"Catches","6.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"4.0",0,"0.0"
"Punches","2.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,"0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"0.0",0,"0.0"
"Goals","0.0",2,2,1,"0.0","0.0","0.0","0.0",2,1,"0.0",1,"0.0",4,2,1,"0.0",3,4,2,"0.0","0.0","0.0","0.0",1,"0.0",2,"0.0"
