"...1","Luis Zamudio
Charleston Battery","Joey Akpunonu
Charleston Battery","Chris Allan
Charleston Battery","Leland Archer
Charleston Battery","Langston Blackstock
Charleston Battery","Jackson Conway
Charleston Battery","Nathan Dossantos
Charleston Battery","Joshua Drack
Charleston Battery","Michael Edwards
Charleston Battery","Christian Garner
Charleston Battery","Cal Jennings
Charleston Battery","Jeremy Kelly
Charleston Battery","John Klein
Charleston Battery","Houssou Landry
Charleston Battery","Douglas Martínez
Charleston Battery","Aaron Molloy
Charleston Battery","Enzo Mori
Charleston Battery","Matt Myers
Charleston Battery","Viggo Ortiz
Charleston Battery","Arturo Rodriguez
Charleston Battery","Diego Rodriguez
Charleston Battery","Rubio Rubín
Charleston Battery","Mark Segbers
Charleston Battery","Graham Smith
Charleston Battery","Ezekiel Soto
Charleston Battery","Juan Torres
Charleston Battery","Emilio Ycaza
Charleston Battery"
"Games played","21.0","19.0","16.0","15.0","17.0","5.0","21.0","4.0","8.0","1.0",22,8,16,21,"12.0",21,"0.0",19,"0.0",20,"0.0","11.0","14.0","13.0","1.0",19,22
"Minutes played","1890.0","1342.0","847.0","964.0","1141.0","21.0","1439.0","19.0","482.0","90.0",1460,446,679,1678,"390.0",1829,"0.0",1403,"0.0",1291,"0.0","466.0","324.0","1121.0","16.0",1639,1163
"Starts","21.0","15.0","10.0","10.0","14.0","0.0","15.0","0.0","5.0","1.0",17,4,7,20,"3.0",20,"0.0",16,"0.0",16,"0.0","4.0","3.0","13.0","0.0",19,13
"Subbed on","0.0","4.0","6.0","5.0","3.0","5.0","6.0","4.0","3.0","0.0",5,4,9,1,"9.0",1,"0.0",3,"0.0",4,"0.0","7.0","11.0","0.0","1.0",0,9
"Subbed off","0.0","1.0","7.0","4.0","6.0","0.0","4.0","0.0","0.0","0.0",12,3,5,7,"3.0",0,"0.0",10,"0.0",11,"0.0","3.0","3.0","2.0","0.0",10,10
"Goals conceded","21.0","15.0","9.0","11.0","13.0","0.0","19.0","1.0","4.0","2.0",16,3,8,19,"6.0",22,"0.0",16,"0.0",17,"0.0","5.0","3.0","14.0","0.0",19,14
"Saves","56.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0",0,0,0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0
"Catches","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0",0,0,0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0
"Punches","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0
"Goals","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",12,1,2,3,"0.0",1,"0.0",10,"0.0",6,"0.0","2.0","0.0","0.0","0.0",4,2
"Penalties","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",5,0,0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0
"Minutes per goal","-","1342.0","-","-","-","-","-","-","-","-",121.7,446,339.5,559.3,"-",1829,"-",140.3,"-",215.2,"-","233.0","-","-","-",409.8,581.5
"Shots on target","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",27,4,7,6,"0.0",7,"0.0",18,"0.0",14,"0.0","5.0","0.0","0.0","0.0",26,6
"Shooting accuracy","-","25.0","0.0","0.0","0.0","-","0.0","-","-","-",64.3,80,70,60,"-",33.3,"-",62.1,"-",63.6,"-","62.5","-","0.0","-",47.3,60
