"...1","Christian Garner
Charleston Battery","Joey Akpunonu
Charleston Battery","Chris Allan
Charleston Battery","Leland Archer
Charleston Battery","Langston Blackstock
Charleston Battery","Jackson Conway
Charleston Battery","Nathan Dossantos
Charleston Battery","Joshua Drack
Charleston Battery","Michael Edwards
Charleston Battery","Cal Jennings
Charleston Battery","Jeremy Kelly
Charleston Battery","John Klein
Charleston Battery","Houssou Landry
Charleston Battery","Douglas Martínez
Charleston Battery","Aaron Molloy
Charleston Battery","Enzo Mori
Charleston Battery","Matt Myers
Charleston Battery","Viggo Ortiz
Charleston Battery","Arturo Rodriguez
Charleston Battery","Diego Rodriguez
Charleston Battery","Rubio Rubín
Charleston Battery","Mark Segbers
Charleston Battery","Graham Smith
Charleston Battery","Ezekiel Soto
Charleston Battery","Juan Torres
Charleston Battery","Emilio Ycaza
Charleston Battery","Luis Zamudio
Charleston Battery"
"Games played","1.0","17.0","15.0","12.0","14.0","5.0","19.0","4.0","6.0",19,"5.0",13,18,"9.0",18,"0.0",16,"0.0",17,"0.0","8.0","13.0","10.0","1.0",19,19,"18.0"
"Minutes played","90.0","1312.0","841.0","723.0","901.0","21.0","1382.0","19.0","471.0",1355,"193.0",415,1496,"295.0",1559,"0.0",1222,"0.0",1039,"0.0","220.0","321.0","851.0","16.0",1639,896,"1620.0"
"Starts","1.0","15.0","10.0","7.0","11.0","0.0","15.0","0.0","5.0",16,"1.0",4,18,"2.0",17,"0.0",14,"0.0",13,"0.0","1.0","3.0","10.0","0.0",19,10,"18.0"
"Subbed on","0.0","2.0","5.0","5.0","3.0","5.0","4.0","4.0","1.0",3,"4.0",9,0,"7.0",1,"0.0",2,"0.0",4,"0.0","7.0","10.0","0.0","1.0",0,9,"0.0"
"Subbed off","0.0","1.0","7.0","2.0","5.0","0.0","4.0","0.0","0.0",11,"1.0",4,6,"2.0",0,"0.0",8,"0.0",10,"0.0","1.0","3.0","2.0","0.0",10,9,"0.0"
"Goals conceded","2.0","15.0","9.0","8.0","11.0","0.0","18.0","1.0","4.0",15,"0.0",5,17,"5.0",19,"0.0",14,"0.0",14,"0.0","2.0","3.0","11.0","0.0",19,11,"18.0"
"Saves","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0,"44.0"
"Catches","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0,"18.0"
"Punches","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,0,"4.0"
"Goals","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",11,"0.0",2,3,"0.0",1,"0.0",9,"0.0",4,"0.0","1.0","0.0","0.0","0.0",4,2,"0.0"
