"...1","Michael Creek
FC Tulsa","Trevor Amann
FC Tulsa","Lamar Batista
FC Tulsa","Faysal Bettache
FC Tulsa","Andrew Booth
FC Tulsa","Taylor Calheira
FC Tulsa","Marcos Cerato
FC Tulsa","Abdoulaye Cissoko
FC Tulsa","Giordano Colli
FC Tulsa","Alex Dalou
FC Tulsa","Owen Damm
FC Tulsa","Boubacar Diallo
FC Tulsa","Bryan Dowd
FC Tulsa","Kalil ElMedkhar
FC Tulsa","Eliot Goldthorp
FC Tulsa","Anthony Harper
FC Tulsa","Cole Johnson
FC Tulsa","Edwin Laszo
FC Tulsa","Stefan Lukic
FC Tulsa","Johan Penaranda
FC Tulsa","Delentz Pierre
FC Tulsa","Arthur Rogers
FC Tulsa","Patrick Seagrist
FC Tulsa","Harvey St. Clair
FC Tulsa","Lucas Stauffer
FC Tulsa","Stefan Stojanovic
FC Tulsa","Al Hassan Toure
FC Tulsa","Jamie Webber
FC Tulsa"
"Games played","0.0","10.0",14,"7.0","2.0",18,16,"19.0",19,17,19,20,"2.0",18,20,"0.0","0.0","16.0",15,"18.0","14.0",16,7,16,"14.0","14.0","3.0",13
"Minutes played","0.0","168.0",1144,"193.0","4.0",1505,1058,"1585.0",1151,1010,1409,1737,"180.0",772,627,"0.0","0.0","980.0",449,"1620.0","848.0",1350,195,1136,"1002.0","789.0","154.0",556
"Starts","0.0","1.0",13,"1.0","0.0",17,11,"18.0",13,14,17,20,"2.0",7,5,"0.0","0.0","12.0",3,"18.0","8.0",15,2,13,"11.0","11.0","2.0",6
"Subbed on","0.0","9.0",1,"6.0","2.0",1,5,"1.0",6,3,2,0,"0.0",11,15,"0.0","0.0","4.0",12,"0.0","6.0",1,5,3,"3.0","3.0","1.0",7
"Subbed off","0.0","1.0",1,"1.0","0.0",4,4,"4.0",7,13,7,5,"0.0",7,5,"0.0","0.0","6.0",5,"0.0","1.0",1,2,6,"3.0","10.0","2.0",6
"Goals conceded","0.0","3.0",13,"4.0","0.0",20,16,"20.0",14,11,19,22,"2.0",9,12,"0.0","0.0","17.0",3,"21.0","10.0",17,3,16,"13.0","14.0","3.0",8
"Saves","0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,0,0,0,"2.0",0,0,"0.0","0.0","0.0",0,"40.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Catches","0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,0,0,0,"1.0",0,0,"0.0","0.0","0.0",0,"15.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Punches","0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,0,0,0,"0.0",0,0,"0.0","0.0","0.0",0,"7.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Goals","0.0","2.0",1,"0.0","0.0",10,2,"0.0",1,4,1,1,"0.0",4,2,"0.0","0.0","0.0",4,"0.0","0.0",2,1,1,"0.0","0.0","0.0",1
"Penalties","0.0","1.0",0,"0.0","0.0",5,0,"0.0",0,0,0,0,"0.0",0,0,"0.0","0.0","0.0",0,"0.0","0.0",1,0,0,"0.0","0.0","0.0",0
"Minutes per goal","-","84.0",1144,"-","-",150.5,529,"-",1151,252.5,1409,1737,"-",193,313.5,"-","-","-",112.3,"-","-",675,195,1136,"-","-","-",556
"Shots on target","0.0","3.0",3,"0.0","0.0",22,6,"0.0",6,7,2,6,"0.0",10,8,"0.0","0.0","0.0",9,"0.0","0.0",5,1,2,"0.0","4.0","0.0",3
"Shooting accuracy","-","50.0",50,"0.0","-",57.9,50,"0.0",60,63.6,16.7,40,"-",62.5,72.7,"-","-","0.0",69.2,"-","0.0",71.4,50,66.7,"0.0","44.4","0.0",30
"Successful crosses","0.0","0.0",0,"1.0","0.0",2,2,"0.0",4,1,10,1,"0.0",2,3,"0.0","0.0","1.0",1,"0.0","0.0",9,0,13,"5.0","0.0","0.0",1
