"...1","Sebastian Mora-Mora
El Paso Locomotive FC","Wahab Ackwei
El Paso Locomotive FC","Tony Alfaro
El Paso Locomotive FC","Roberto Avila
El Paso Locomotive FC","Wilmer Cabrera
El Paso Locomotive FC","Eric Calvillo
El Paso Locomotive FC","Marco Canales
El Paso Locomotive FC","Daniel Carter
El Paso Locomotive FC","Robert Coronado
El Paso Locomotive FC","Frank Daroma
El Paso Locomotive FC","Guillermo Diaz
El Paso Locomotive FC","Noah Dollenmayer
El Paso Locomotive FC","Kenneth Hoban
El Paso Locomotive FC","Frank López
El Paso Locomotive FC","Omar Mora
El Paso Locomotive FC","Amando Moreno
El Paso Locomotive FC","Tumi Moshobane
El Paso Locomotive FC","Arturo Ortíz
El Paso Locomotive FC","Álvaro Quezada
El Paso Locomotive FC","Mario Rodriguez
El Paso Locomotive FC","Bryan Romero
El Paso Locomotive FC","Ricky Ruiz
El Paso Locomotive FC","Christian Sorto
El Paso Locomotive FC","Gabriel Torres
El Paso Locomotive FC","Kofi Twumasi
El Paso Locomotive FC","Axel Valdivia
El Paso Locomotive FC","Raul Vazquez
El Paso Locomotive FC","Joseluis Villagomez
El Paso Locomotive FC","Jahmali Waite
El Paso Locomotive FC"
"Games played","5.0","15.0","10.0",20,18,19,"0.0","7.0",19,20,"18.0","5.0","1.0","11.0","0.0",20,"10.0",17,15,"4.0","7.0",20,8,21,"14.0","0.0","0.0","0.0","16.0"
"Minutes played","450.0","1125.0","598.0",1463,1314,1615,"0.0","97.0",893,1702,"968.0","163.0","1.0","205.0","0.0",1735,"234.0",1314,923,"63.0","403.0",1372,319,1529,"906.0","0.0","0.0","0.0","1440.0"
"Starts","5.0","13.0","6.0",18,16,18,"0.0","1.0",8,20,"9.0","2.0","0.0","1.0","0.0",20,"2.0",16,12,"0.0","4.0",15,3,17,"9.0","0.0","0.0","0.0","16.0"
"Subbed on","0.0","2.0","4.0",2,2,1,"0.0","6.0",11,0,"9.0","3.0","1.0","10.0","0.0",0,"8.0",1,3,"4.0","3.0",5,5,4,"5.0","0.0","0.0","0.0","0.0"
"Subbed off","0.0","2.0","1.0",15,9,1,"0.0","1.0",4,5,"3.0","1.0","0.0","1.0","0.0",11,"2.0",4,10,"0.0","1.0",3,4,7,"1.0","0.0","0.0","0.0","0.0"
"Goals conceded","6.0","20.0","15.0",22,18,24,"0.0","4.0",13,29,"15.0","3.0","0.0","5.0","0.0",25,"6.0",18,15,"0.0","6.0",21,5,22,"15.0","0.0","0.0","0.0","24.0"
"Saves","9.0","0.0","0.0",0,0,0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,"0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","35.0"
"Catches","8.0","0.0","0.0",0,0,0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,"0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","18.0"
"Punches","2.0","0.0","0.0",0,0,0,"0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,"0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","8.0"
"Goals","0.0","2.0","0.0",3,10,3,"0.0","0.0",1,1,"0.0","0.0","0.0","0.0","0.0",7,"0.0",1,1,"1.0","0.0",1,2,3,"0.0","0.0","0.0","0.0","0.0"
