"...1","Jake McGuire
North Carolina FC","Ahmad Al-Qaq
North Carolina FC","Oalex Anderson
North Carolina FC","Ezra Armstrong
North Carolina FC","Raul Avalos
North Carolina FC","Rodrigo da Costa
North Carolina FC","Patrick Burner
North Carolina FC","Evan Conway
North Carolina FC","Paco Craig
North Carolina FC","Pedro Dolabella
North Carolina FC","Conor Donovan
North Carolina FC","Rafael Mentzingen
North Carolina FC","Akira Fitzgerald
North Carolina FC","JahLane Forbes
North Carolina FC","Triston Hodge
North Carolina FC","Adam Luckhurst
North Carolina FC","Michael Maldonado
North Carolina FC","Justin Malou
North Carolina FC","Collin Martin
North Carolina FC","Trevor Mulqueen
North Carolina FC","Louis Pérez
North Carolina FC","Jayson Quintanilla
North Carolina FC","Thomas Roberts
North Carolina FC","Oliver Semmle
North Carolina FC","Jaden Servania
North Carolina FC","Raheem Sommersall
North Carolina FC","Finn Sundstrom
North Carolina FC","Bryce Washington
North Carolina FC"
"Games played","17.0","15.0",14,"3.0","0.0",14,"15.0",16,16,19,"10.0",18,"0.0","1.0","13.0","14.0",21,"1.0","10.0","2.0",21,"0.0","3.0","2.0",18,18,"19.0","17.0"
"Minutes played","1530.0","374.0",748,"148.0","0.0",458,"913.0",1130,1091,1423,"658.0",1513,"0.0","11.0","817.0","415.0",1833,"1.0","771.0","180.0",1297,"0.0","54.0","180.0",1157,992,"1652.0","1454.0"
"Starts","17.0","4.0",8,"2.0","0.0",5,"10.0",12,12,17,"7.0",18,"0.0","0.0","9.0","4.0",20,"0.0","10.0","2.0",14,"0.0","0.0","2.0",12,11,"18.0","17.0"
"Subbed on","0.0","11.0",6,"1.0","0.0",9,"5.0",4,4,2,"3.0",0,"0.0","1.0","4.0","10.0",1,"1.0","0.0","0.0",7,"0.0","3.0","0.0",6,7,"1.0","0.0"
"Subbed off","0.0","4.0",6,"2.0","0.0",5,"5.0",7,2,10,"1.0",6,"0.0","0.0","1.0","2.0",0,"0.0","9.0","0.0",11,"0.0","0.0","0.0",5,4,"3.0","3.0"
"Goals conceded","20.0","10.0",18,"1.0","0.0",10,"16.0",17,18,18,"13.0",23,"0.0","1.0","12.0","4.0",30,"1.0","10.0","6.0",16,"0.0","3.0","4.0",18,15,"27.0","19.0"
"Saves","46.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","2.0",0,"0.0","0.0","6.0",0,0,"0.0","0.0"
"Catches","13.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,"0.0","0.0"
"Punches","1.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","1.0",0,"0.0","0.0","0.0",0,0,"0.0","0.0"
"Goals","0.0","0.0",3,"0.0","0.0",1,"0.0",6,1,7,"1.0",3,"0.0","0.0","0.0","1.0",1,"0.0","0.0","0.0",3,"0.0","1.0","0.0",2,1,"1.0","0.0"
"Penalties","0.0","0.0",0,"0.0","0.0",0,"0.0",0,0,0,"0.0",0,"0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",1,"0.0","0.0","0.0",0,0,"0.0","0.0"
"Minutes per goal","-","-",249.3,"-","-",458,"-",188.3,1091,203.3,"658.0",504.3,"-","-","-","415.0",1833,"-","-","-",432.3,"-","54.0","-",578.5,992,"1652.0","-"
"Shots on target","0.0","1.0",11,"1.0","0.0",4,"0.0",13,2,14,"1.0",10,"0.0","0.0","3.0","4.0",4,"0.0","1.0","0.0",5,"0.0","3.0","0.0",3,2,"2.0","1.0"
"Shooting accuracy","-","25.0",61.1,"100.0","-",36.4,"0.0",52,33.3,77.8,"33.3",38.5,"-","-","50.0","57.1",44.4,"-","100.0","-",38.5,"-","100.0","-",75,28.6,"100.0","50.0"
"Successful crosses","0.0","1.0",3,"1.0","0.0",2,"5.0",1,0,3,"0.0",8,"0.0","0.0","0.0","0.0",14,"0.0","1.0","0.0",2,"0.0","0.0","0.0",5,0,"0.0","0.0"
"Crossing accuracy","-","10.0",30,"11.1","-",22.2,"22.7",50,0,18.8,"-",15.7,"-","-","0.0","-",35,"-","33.3","-",10,"-","-","-",29.4,0,"-","-"
