"...1","Logan Ketterer
Lexington SC","Michael Adedokun
Lexington SC","Forster Ajago
Lexington SC","Daniel Barbir
Lexington SC","Jack Beer
Lexington SC","Cory Burke
Lexington SC","Kendall Burks
Lexington SC","Edrey Caceres
Lexington SC","Sofiane Djeffal
Lexington SC","Marcus Epps
Lexington SC","Blaine Ferri
Lexington SC","Nicolas Firmino
Lexington SC","Gael Gibert
Lexington SC","Eliot Goldthorp
Lexington SC","Jacob Greene
Lexington SC","Joe Hafferty
Lexington SC","Cameron Lancaster
Lexington SC","Hugo Mbongue
Lexington SC","Alfredo Midence Alvarado
Lexington SC","Christopher Olney Jr.
Lexington SC","Braudílio Rodrigues
Lexington SC","Kieran Sargeant
Lexington SC","Lucas Stauffer
Lexington SC","Kimani Stewart-Baynes
Lexington SC","Brooks Thompson
Lexington SC","Christian Volesky
Lexington SC","Devon Williams
Lexington SC","Daniel Wu
Lexington SC","Xavier Zengue
Lexington SC"
"Games played","11.0",14,10,"8.0","3.0",10,"19.0","2.0",18,18,"2.0",19,"14.0",19,"11.0",18,"7.0","1.0",12,"3.0",14,"19.0","13.0","0.0","8.0","1.0","14.0","3.0",8
"Minutes played","990.0",862,850,"462.0","197.0",594,"1652.0","91.0",1582,1555,"174.0",1517,"737.0",568,"328.0",1556,"7.0","1.0",13,"1.0",9,"1539.0","911.0","0.0","720.0","4.0","949.0","64.0",484
"Starts","11.0",9,10,"5.0","3.0",7,"18.0","1.0",18,18,"2.0",18,"6.0",4,"3.0",18,"0.0","0.0",0,"0.0",0,"18.0","10.0","0.0","8.0","0.0","10.0","1.0",7
"Subbed on","0.0",5,0,"3.0","0.0",3,"1.0","1.0",0,0,"0.0",1,"8.0",15,"8.0",0,"1.0","0.0",1,"0.0",1,"1.0","3.0","0.0","0.0","1.0","4.0","2.0",1
"Subbed off","0.0",1,2,"1.0","3.0",4,"1.0","0.0",4,5,"1.0",8,"1.0",4,"2.0",1,"0.0","0.0",0,"0.0",0,"7.0","3.0","0.0","0.0","0.0","2.0","0.0",4
"Goals conceded","18.0",10,9,"8.0","2.0",7,"26.0","3.0",20,23,"3.0",21,"12.0",11,"10.0",22,"7.0","4.0",8,"0.0",9,"23.0","12.0","0.0","8.0","1.0","16.0","0.0",6
"Saves","23.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","22.0","0.0","0.0","0.0",0
"Catches","6.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","4.0","0.0","0.0","0.0",0
"Punches","6.0",0,0,"0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","3.0","0.0","0.0","0.0",0
"Goals","0.0",2,3,"0.0","0.0",3,"0.0","0.0",1,3,"0.0",2,"0.0",2,"0.0",1,"1.0","0.0",1,"0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",1
