"...1","Nicholas Ammeter
Las Vegas Lights FC","Raiko Arozarena
Las Vegas Lights FC","Edison Azcona
Las Vegas Lights FC","Younes Boudadi
Las Vegas Lights FC","Shaft Brewer
Las Vegas Lights FC","Ashish Chattha
Las Vegas Lights FC","Vaughn Covil
Las Vegas Lights FC","Orrin McKinze Gaines II
Las Vegas Lights FC","Coleman Gannon
Las Vegas Lights FC","Joseph-Claude Gyau
Las Vegas Lights FC","Elias Gärtig
Las Vegas Lights FC","Anthony Herbert
Las Vegas Lights FC","Maliek Howell
Las Vegas Lights FC","Turner Humphrey
Las Vegas Lights FC","Nathaniel Jones
Las Vegas Lights FC","Patrick Leal
Las Vegas Lights FC","Tommy McNamara
Las Vegas Lights FC","Carver Miller
Las Vegas Lights FC","Gennaro Michael Nigro
Las Vegas Lights FC","Valentin Noël
Las Vegas Lights FC","Rory O'Driscoll
Las Vegas Lights FC","Christopher Pearson
Las Vegas Lights FC","Daouda Peeters
Las Vegas Lights FC","Nighte Pickering
Las Vegas Lights FC","Christian Pinzon
Las Vegas Lights FC","Johnny Rodriguez
Las Vegas Lights FC","Jack Singer
Las Vegas Lights FC","Shawn Smart
Las Vegas Lights FC","Stefan Stojanovic
Las Vegas Lights FC"
"Games played","4.0","17.0","9.0","14.0","5.0","1.0","9.0",15,"8.0",17,"20.0",9,"16.0","1.0","13.0","16.0","1.0","0.0","19.0",20,"7.0","16.0","8.0",14,12,20,"8.0",12,"14.0"
"Minutes played","286.0","1514.0","558.0","1166.0","168.0","73.0","210.0",525,"374.0",882,"1800.0",338,"1124.0","9.0","805.0","1222.0","33.0","0.0","1605.0",1700,"365.0","864.0","400.0",450,993,1699,"424.0",775,"789.0"
"Starts","3.0","17.0","7.0","13.0","2.0","1.0","2.0",6,"3.0",8,"20.0",4,"12.0","0.0","10.0","15.0","0.0","0.0","18.0",20,"4.0","10.0","5.0",3,11,19,"6.0",8,"11.0"
"Subbed on","1.0","0.0","2.0","1.0","3.0","0.0","7.0",9,"5.0",9,"0.0",5,"4.0","1.0","3.0","1.0","1.0","0.0","1.0",0,"3.0","6.0","3.0",11,1,1,"2.0",4,"3.0"
"Subbed off","0.0","1.0","4.0","2.0","2.0","1.0","4.0",6,"0.0",5,"0.0",2,"3.0","0.0","6.0","9.0","0.0","0.0","2.0",4,"3.0","3.0","5.0",3,2,6,"4.0",3,"10.0"
"Goals conceded","7.0","30.0","10.0","27.0","6.0","0.0","7.0",7,"11.0",14,"37.0",7,"23.0","1.0","24.0","20.0","1.0","0.0","31.0",36,"12.0","22.0","6.0",14,11,33,"8.0",10,"14.0"
"Saves","10.0","43.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0",0,"0.0"
"Catches","2.0","8.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0",0,"0.0"
"Punches","0.0","10.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0","0.0","0.0",0,0,0,"0.0",0,"0.0"
"Goals","0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,"0.0",1,"0.0",1,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",2,"0.0","0.0","0.0",3,1,7,"0.0",2,"0.0"
