"...1","Joseph Batrouni
San Antonio FC","Juan Agudelo
San Antonio FC","Lucio Berrón
San Antonio FC","Nelson Blanco Flores
San Antonio FC","Rece Buckmaster
San Antonio FC","Alex Crognale
San Antonio FC","Dmitri Erofeev
San Antonio FC","Shannon Gomez
San Antonio FC","Brandon Gongora
San Antonio FC","Alex Greive
San Antonio FC","Luke Haakenson
San Antonio FC","Dominick Hernandez
San Antonio FC","Jorge Hernández
San Antonio FC","Jake LaCava
San Antonio FC","Kyle Linhares
San Antonio FC","Jimmy Medranda
San Antonio FC","Dyllan Mendoza
San Antonio FC","Daniel Namani
San Antonio FC","Harvey Neville
San Antonio FC","Mohamed Omar
San Antonio FC","Juan Osorio
San Antonio FC","Diogo Pacheco
San Antonio FC","Luis Paredes
San Antonio FC","Santiago Patiño
San Antonio FC","Abdi Salim
San Antonio FC","Sebastian Seiterle
San Antonio FC","Almir de Jesús Soto
San Antonio FC","Alexis Souahy
San Antonio FC","Richard Sánchez
San Antonio FC","Mitchell Taintor
San Antonio FC","Leonides Urrutia
San Antonio FC","Landry Walker
San Antonio FC"
"Games played","0.0","17.0",17,"11.0",17,"18.0","12.0","3.0","0.0",10,18,"19.0",17,17,"1.0",19,"1.0","4.0","11.0","8.0","6.0",15,11,"2.0","5.0","0.0","21.0","10.0","18.0",17,"2.0","4.0"
"Minutes played","0.0","853.0",977,"811.0",1180,"1620.0","177.0","180.0","0.0",323,1146,"1089.0",1456,1021,"90.0",1225,"5.0","326.0","670.0","536.0","227.0",723,866,"31.0","170.0","0.0","1488.0","531.0","1564.0",1496,"139.0","211.0"
"Starts","0.0","10.0",10,"9.0",13,"18.0","1.0","2.0","0.0",4,12,"12.0",16,11,"1.0",15,"0.0","3.0","8.0","5.0","3.0",9,10,"0.0","1.0","0.0","18.0","5.0","18.0",17,"2.0","2.0"
"Subbed on","0.0","7.0",7,"2.0",4,"0.0","11.0","1.0","0.0",6,6,"7.0",1,6,"0.0",4,"1.0","1.0","3.0","3.0","3.0",6,1,"2.0","4.0","0.0","3.0","5.0","0.0",0,"0.0","2.0"
"Subbed off","0.0","10.0",1,"3.0",7,"0.0","1.0","2.0","0.0",3,6,"8.0",3,7,"0.0",10,"0.0","0.0","5.0","1.0","3.0",9,4,"0.0","0.0","0.0","10.0","0.0","1.0",1,"2.0","1.0"
"Goals conceded","0.0","9.0",16,"13.0",15,"25.0","4.0","0.0","0.0",5,21,"14.0",20,17,"1.0",19,"0.0","2.0","17.0","8.0","5.0",8,12,"0.0","5.0","0.0","18.0","7.0","25.0",18,"1.0","1.0"
"Saves","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,0,"0.0",0,"0.0","9.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","38.0",0,"0.0","0.0"
"Catches","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,0,"0.0",0,"0.0","1.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","13.0",0,"0.0","0.0"
"Punches","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",0,0,"0.0",0,"0.0","2.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0","0.0","0.0","4.0",0,"0.0","0.0"
"Goals","0.0","1.0",1,"0.0",1,"2.0","0.0","0.0","0.0",2,4,"0.0",8,1,"0.0",1,"0.0","0.0","0.0","1.0","0.0",2,1,"0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0"
"Penalties","0.0","0.0",0,"0.0",0,"0.0","0.0","0.0","0.0",0,0,"0.0",4,0,"0.0",0,"0.0","0.0","0.0","0.0","0.0",0,1,"0.0","0.0","0.0","0.0","0.0","0.0",1,"0.0","0.0"
"Minutes per goal","-","853.0",977,"-",1180,"810.0","-","-","-",161.5,286.5,"-",182,1021,"-",1225,"-","-","-","536.0","-",361.5,866,"-","-","-","-","-","-",1496,"-","-"
"Shots on target","0.0","5.0",2,"1.0",2,"5.0","1.0","0.0","0.0",4,7,"3.0",12,3,"0.0",5,"0.0","0.0","1.0","1.0","0.0",8,8,"0.0","2.0","0.0","1.0","1.0","0.0",2,"0.0","0.0"
"Shooting accuracy","-","50.0",28.6,"33.3",100,"55.6","33.3","-","-",66.7,63.6,"27.3",66.7,30,"-",33.3,"-","-","100.0","33.3","0.0",53.3,32,"-","100.0","-","12.5","100.0","-",28.6,"0.0","-"
"Successful crosses","0.0","0.0",1,"9.0",1,"0.0","2.0","0.0","0.0",1,5,"2.0",11,2,"0.0",4,"0.0","0.0","5.0","0.0","0.0",1,7,"0.0","0.0","0.0","3.0","0.0","0.0",0,"0.0","0.0"
"Crossing accuracy","-","-",25,"45.0",9.1,"-","33.3","0.0","-",33.3,25,"16.7",28.9,14.3,"0.0",21.1,"-","-","25.0","-","0.0",16.7,24.1,"-","-","-","50.0","-","-",0,"0.0","-"
"Assists","0.0","0.0",0,"0.0",1,"1.0","0.0","0.0","0.0",1,1,"2.0",2,1,"0.0",2,"0.0","0.0","1.0","0.0","0.0",1,1,"0.0","0.0","0.0","1.0","0.0","0.0",1,"0.0","0.0"
"Key Passes","0.0","8.0",6,"12.0",7,"6.0","2.0","1.0","0.0",4,15,"6.0",33,6,"0.0",7,"0.0","0.0","8.0","1.0","0.0",4,9,"0.0","1.0","0.0","9.0","2.0","1.0",3,"0.0","0.0"
