"match_id","player_id","team_id","minutes_played","is_starter","goals","shots","passes","assists","interceptions","duels_won","yellow_cards","red_cards"
14000,6099,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6108,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6117,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6113,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6122,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6105,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6102,114,90,1,1,NA,NA,0,NA,NA,0,0
14000,6111,114,78,1,0,NA,NA,0,NA,NA,0,0
14000,6109,114,90,1,0,NA,NA,0,NA,NA,0,0
14000,6107,114,78,1,0,NA,NA,1,NA,NA,1,0
14000,6104,114,78,1,0,NA,NA,0,NA,NA,0,0
14000,6110,114,6,0,0,NA,NA,0,NA,NA,0,0
14000,6112,114,19,0,0,NA,NA,0,NA,NA,0,0
14000,6116,114,19,0,0,NA,NA,0,NA,NA,0,0
14000,6119,114,19,0,0,NA,NA,0,NA,NA,0,0
14000,6053,119,90,1,0,NA,NA,0,NA,NA,0,0
14000,6063,119,88,1,0,NA,NA,0,NA,NA,1,0
14000,6066,119,70,1,0,NA,NA,0,NA,NA,0,0
14000,6057,119,90,1,0,NA,NA,0,NA,NA,0,0
14000,6059,119,90,1,0,NA,NA,0,NA,NA,0,0
14000,6054,119,90,1,0,NA,NA,0,NA,NA,0,0
14000,6073,119,90,1,0,NA,NA,0,NA,NA,0,0
14000,6069,119,70,1,0,NA,NA,0,NA,NA,0,0
14000,6068,119,55,1,0,NA,NA,0,NA,NA,0,0
14000,6064,119,88,1,0,NA,NA,0,NA,NA,1,0
14000,6060,119,90,1,1,NA,NA,0,NA,NA,0,0
14000,6056,119,9,0,0,NA,NA,0,NA,NA,0,0
14000,6058,119,27,0,0,NA,NA,0,NA,NA,0,0
14000,6062,119,42,0,0,NA,NA,0,NA,NA,0,0
14000,6067,119,9,0,0,NA,NA,0,NA,NA,0,0
14000,6071,119,27,0,0,NA,NA,0,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
